Temperature,pH,N,P,K,Crop,Soil,Fertilizer
27,6.5,29,4,57,Wheat,Sandy,SSP
30,7.0,97,16,30,Pulses,Loam,Potash
36,7.4,13,98,84,Cotton,Clayey,Potash
15,5.7,19,56,20,Pulses,Clayey,DAP
18,5.7,41,14,58,Pulses,Loam,SSP
18,6.7,76,15,69,Maize,Clayey,Urea
22,7.0,44,88,74,Wheat,Loam,DAP
24,7.2,51,14,88,Rice,Sandy,Complex NPK
34,7.4,16,10,75,Rice,Loam,Complex NPK
36,7.5,37,4,21,Rice,Sandy,Potash
33,6.3,14,84,70,Rice,Loam,Urea
19,6.3,36,52,65,Rice,Loam,Potash
38,5.8,4,75,52,Pulses,Clayey,Complex NPK
21,6.9,47,53,13,Pulses,Clayey,SSP
39,6.8,0,93,79,Pulses,Clayey,DAP
39,7.2,49,67,43,Wheat,Clayey,Urea
27,5.7,37,44,85,Cotton,Loam,DAP
16,6.5,75,90,67,Maize,Clayey,DAP
21,6.7,44,91,93,Pulses,Loam,Potash
22,6.0,69,2,9,Wheat,Loam,Complex NPK
38,5.8,16,60,54,Wheat,Sandy,Urea
29,7.2,16,66,88,Maize,Loam,DAP
39,5.6,10,23,55,Rice,Clayey,Urea
32,6.4,5,28,55,Wheat,Sandy,Urea
20,5.7,23,53,56,Cotton,Sandy,Complex NPK
28,6.4,47,18,49,Cotton,Sandy,DAP
23,7.5,67,59,20,Cotton,Loam,Urea
24,6.3,38,65,37,Wheat,Clayey,Urea
35,7.2,18,68,53,Wheat,Sandy,DAP
34,5.7,94,36,61,Wheat,Loam,DAP
31,6.0,80,81,83,Wheat,Loam,DAP
34,6.3,31,24,40,Cotton,Sandy,Potash
20,6.3,42,89,67,Maize,Clayey,DAP
30,6.8,47,76,37,Maize,Loam,Complex NPK
30,6.2,21,34,3,Wheat,Sandy,Urea
15,6.9,97,85,84,Cotton,Loam,Potash
33,6.8,55,56,38,Maize,Clayey,DAP
18,6.3,74,63,94,Cotton,Clayey,SSP
39,6.4,31,73,33,Wheat,Clayey,Potash
32,6.7,83,36,89,Wheat,Clayey,Potash
34,5.6,66,41,41,Pulses,Loam,Potash
34,7.1,19,6,22,Wheat,Clayey,Potash
34,6.8,31,17,66,Cotton,Sandy,Urea
29,7.0,19,31,57,Wheat,Clayey,Urea
22,6.6,39,6,27,Rice,Clayey,Potash
15,5.7,39,50,58,Pulses,Sandy,SSP
16,6.3,61,16,28,Wheat,Clayey,DAP
24,6.3,97,30,60,Wheat,Clayey,Potash
15,6.1,44,28,99,Pulses,Sandy,Potash
25,5.6,54,75,47,Rice,Clayey,DAP
35,7.0,94,32,33,Pulses,Loam,Urea
38,5.7,62,89,25,Cotton,Loam,Potash
18,6.7,76,38,74,Cotton,Clayey,Potash
26,6.9,16,29,72,Rice,Loam,Potash
33,6.8,80,2,81,Wheat,Sandy,Potash
38,7.4,6,83,89,Pulses,Loam,DAP
17,5.7,68,76,7,Maize,Clayey,Urea
15,7.2,45,18,51,Rice,Clayey,SSP
15,5.6,84,64,29,Pulses,Clayey,DAP
19,6.6,30,41,39,Pulses,Clayey,SSP
36,6.3,76,22,41,Rice,Sandy,SSP
